"","Gene","Clinical.feature","Cancer","Sample.type","comparison","comp.x","comp.y","p.value","p.adj","log2FC","method"
"85","TMPRSS2","gender","GBM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"86","TMPRSS2","gender","GBM","Tumor","FEMALE-MALE",2.94314556753029,3.05733370213279,0.660265979474353,0.81841968726871,-0.114188134602508,"Welch Two Sample t-test"
"87","TMPRSS2","gender","HNSC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"88","TMPRSS2","gender","HNSC","Tumor","FEMALE-MALE",5.68767344797835,6.23562244616503,0.0419774024861626,0.355743199927561,-0.547948998186682,"Welch Two Sample t-test"
"89","TMPRSS2","gender","KICH","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"90","TMPRSS2","gender","KICH","Tumor","FEMALE-MALE",12.7836483721085,12.2994494951041,0.193967624302638,0.58192947339743,0.484198877004346,"Welch Two Sample t-test"
"91","TMPRSS2","gender","KIRC","Normal","FEMALE-MALE",11.2746623841208,11.1407221993277,0.599485783585184,0.786825090955554,0.133940184793008,"Welch Two Sample t-test"
"92","TMPRSS2","gender","KIRC","Tumor","FEMALE-MALE",4.17641208830305,4.36398337653187,0.354153349957112,0.692113903680164,-0.187571288228821,"Welch Two Sample t-test"
"93","TMPRSS2","gender","KIRP","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"94","TMPRSS2","gender","KIRP","Tumor","FEMALE-MALE",5.73068086160532,6.00550455152623,0.359359362104219,0.692113903680164,-0.274823689920908,"Welch Two Sample t-test"
"95","TMPRSS2","gender","LAML","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"96","TMPRSS2","gender","LAML","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"97","TMPRSS2","gender","LGG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"98","TMPRSS2","gender","LGG","Tumor","FEMALE-MALE",3.14603880498656,3.21636223248245,0.475910977109504,0.749559788947469,-0.0703234274958939,"Welch Two Sample t-test"
"99","TMPRSS2","gender","LIHC","Normal","FEMALE-MALE",11.0492915151715,10.8191272730533,0.362535854308657,0.692113903680164,0.230164242118171,"Welch Two Sample t-test"
"100","TMPRSS2","gender","LIHC","Tumor","FEMALE-MALE",9.64318083578034,9.43997850218844,0.253504855749813,0.58192947339743,0.203202333591898,"Welch Two Sample t-test"
"101","TMPRSS2","gender","LUAD","Normal","FEMALE-MALE",11.7916659194771,11.9325479142776,0.258635321509969,0.58192947339743,-0.140881994800436,"Welch Two Sample t-test"
"102","TMPRSS2","gender","LUAD","Tumor","FEMALE-MALE",10.7973443037924,10.3377069549105,0.00206028131564756,0.0432659076285987,0.459637348881893,"Welch Two Sample t-test"
"103","TMPRSS2","gender","LUSC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"104","TMPRSS2","gender","LUSC","Tumor","FEMALE-MALE",8.32088979501107,7.86681742172899,0.0271253892955511,0.284816587603286,0.454072373282084,"Welch Two Sample t-test"
"105","TMPRSS2","gender","MESO","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"106","TMPRSS2","gender","MESO","Tumor","FEMALE-MALE",2.88831150147141,3.20437622428845,0.558466572255101,0.776040968991524,-0.316064722817034,"Welch Two Sample t-test"
"107","TMPRSS2","gender","OV","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"108","TMPRSS2","gender","OV","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"109","TMPRSS2","gender","PAAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"110","TMPRSS2","gender","PAAD","Tumor","FEMALE-MALE",10.2972907573668,10.5954407948186,0.197309471014764,0.58192947339743,-0.29815003745183,"Welch Two Sample t-test"
"111","TMPRSS2","gender","PCPG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"112","TMPRSS2","gender","PCPG","Tumor","FEMALE-MALE",1.79230040162463,1.83579277199605,0.663171009221534,0.81841968726871,-0.0434923703714205,"Welch Two Sample t-test"
"113","TMPRSS2","gender","PRAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"114","TMPRSS2","gender","PRAD","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"115","TMPRSS2","gender","READ","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"116","TMPRSS2","gender","READ","Tumor","FEMALE-MALE",11.7430441670072,11.7053080216345,0.772946035098949,0.839579313986789,0.0377361453727563,"Welch Two Sample t-test"
"117","TMPRSS2","gender","SARC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"118","TMPRSS2","gender","SARC","Tumor","FEMALE-MALE",2.47144738735008,2.73472647823511,0.132075737763336,0.56251883224976,-0.26327909088503,"Welch Two Sample t-test"
"119","TMPRSS2","gender","SKCMmets","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"120","TMPRSS2","gender","SKCMmets","Tumor","FEMALE-MALE",4.02184041260216,3.81530594843283,0.239038652910233,0.58192947339743,0.206534464169331,"Welch Two Sample t-test"
"121","TMPRSS2","gender","SKCMprimary","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"122","TMPRSS2","gender","SKCMprimary","Tumor","FEMALE-MALE",3.70823612409754,3.88397682107715,0.529577147200362,0.776040968991524,-0.175740696979604,"Welch Two Sample t-test"
"123","TMPRSS2","gender","STAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"124","TMPRSS2","gender","STAD","Tumor","FEMALE-MALE",10.935485528599,11.1514590517722,0.232002553719303,0.58192947339743,-0.215973523173187,"Welch Two Sample t-test"
"125","TMPRSS2","gender","TGCT","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"126","TMPRSS2","gender","TGCT","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"127","TMPRSS2","gender","THCA","Normal","FEMALE-MALE",8.81669646941701,8.83112465756386,0.94459792468856,0.959833375086763,-0.0144281881468569,"Welch Two Sample t-test"
"128","TMPRSS2","gender","THCA","Tumor","FEMALE-MALE",8.43611914021835,8.72722331365826,0.0704042737263114,0.405165718155738,-0.291104173439907,"Welch Two Sample t-test"
"129","TMPRSS2","gender","THYM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"130","TMPRSS2","gender","THYM","Tumor","FEMALE-MALE",4.0153890384466,3.78287638819703,0.421687781967437,0.718008926052663,0.232512650249573,"Welch Two Sample t-test"
"131","TMPRSS2","gender","UCEC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"132","TMPRSS2","gender","UCEC","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"133","TMPRSS2","gender","UCS","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"134","TMPRSS2","gender","UCS","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"135","TMPRSS2","gender","UVM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"136","TMPRSS2","gender","UVM","Tumor","FEMALE-MALE",2.29326104221818,2.34276589534002,0.802463614788078,0.856867927655066,-0.0495048531218316,"Welch Two Sample t-test"
"137","ACE2","age.group","ACC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"138","ACE2","age.group","ACC","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"139","ACE2","age.group","BLCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"140","ACE2","age.group","BLCA","Tumor","younger-older",5.02151950411117,4.85043321625326,0.424947540775733,0.658706938923692,0.171086287857918,"Welch Two Sample t-test"
"141","ACE2","age.group","BRCA","Normal","younger-older",4.78363315577299,4.71363108457542,0.666107962493495,0.841680877558809,0.0700020711975746,"Welch Two Sample t-test"
"142","ACE2","age.group","BRCA","Tumor","younger-older",3.28110773630518,3.00497029471044,0.0346548231037115,0.266842137898579,0.27613744159474,"Welch Two Sample t-test"
"143","ACE2","age.group","CESC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"144","ACE2","age.group","CESC","Tumor","younger-older",5.91590685210534,6.00515393057684,0.772915774492828,0.880026319111696,-0.0892470784714972,"Welch Two Sample t-test"
"145","ACE2","age.group","CHOL","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"146","ACE2","age.group","CHOL","Tumor","younger-older",6.70836629833522,6.97752043710049,0.794737281510182,0.880026319111696,-0.269154138765275,"Welch Two Sample t-test"
"147","ACE2","age.group","COAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"148","ACE2","age.group","COAD","Tumor","younger-older",8.99461260004348,8.67734567304557,0.158096659365267,0.524952076031917,0.31726692699791,"Welch Two Sample t-test"
"149","ACE2","age.group","DLBC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"150","ACE2","age.group","DLBC","Tumor","younger-older",1.98950664793465,1.72513985612136,0.01640930984736,0.21058614304112,0.264366791813289,"Welch Two Sample t-test"
"151","ACE2","age.group","ESCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"152","ACE2","age.group","ESCA","Tumor","younger-older",6.01474252296157,6.36261558040114,0.331926399369614,0.603862347630429,-0.347873057439568,"Welch Two Sample t-test"
"153","ACE2","age.group","GBM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"154","ACE2","age.group","GBM","Tumor","younger-older",2.59958105476113,2.42576458472979,0.12434391621747,0.479791639663078,0.17381647003134,"Welch Two Sample t-test"
"155","ACE2","age.group","HNSC","Normal","younger-older",6.12817597996391,7.08085118417262,0.0055467094136852,0.10677415621344,-0.952675204208708,"Welch Two Sample t-test"
"156","ACE2","age.group","HNSC","Tumor","younger-older",6.11747115423141,6.23646970750049,0.435275943954225,0.658706938923692,-0.118998553269082,"Welch Two Sample t-test"
"157","ACE2","age.group","KICH","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"158","ACE2","age.group","KICH","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"159","ACE2","age.group","KIRC","Normal","younger-older",9.41240342365185,9.02702969659819,0.509356019116448,0.726303953184565,0.385373727053658,"Welch Two Sample t-test"
"160","ACE2","age.group","KIRC","Tumor","younger-older",9.52258428535683,9.51308776091273,0.97120426734396,0.983859729756758,0.00949652444410276,"Welch Two Sample t-test"
"161","ACE2","age.group","KIRP","Normal","younger-older",10.046953223785,9.4201332978562,0.443472712911818,0.658706938923692,0.626819925928777,"Welch Two Sample t-test"
"162","ACE2","age.group","KIRP","Tumor","younger-older",10.5661094334545,10.6492150706066,0.792361761050259,0.880026319111696,-0.0831056371520784,"Welch Two Sample t-test"
"163","ACE2","age.group","LAML","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"164","ACE2","age.group","LAML","Tumor","younger-older",1.77362400248712,1.99472430738617,0.233763807170569,0.580639133939802,-0.221100304899044,"Welch Two Sample t-test"
"165","ACE2","age.group","LGG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"166","ACE2","age.group","LGG","Tumor","younger-older",2.63816242502947,2.9528034771061,0.0157137584672536,0.21058614304112,-0.314641052076626,"Welch Two Sample t-test"
"167","ACE2","age.group","LIHC","Normal","younger-older",6.99036848541751,6.8728462620823,0.774971020368056,0.880026319111696,0.117522223335209,"Welch Two Sample t-test"
"168","ACE2","age.group","LIHC","Tumor","younger-older",5.01592368789636,5.44963288123585,0.165069241238831,0.524952076031917,-0.433709193339487,"Welch Two Sample t-test"
"169","ACE2","age.group","LUAD","Normal","younger-older",5.91456703308826,5.75808336917217,0.345064198645959,0.603862347630429,0.156483663916084,"Welch Two Sample t-test"
"170","ACE2","age.group","LUAD","Tumor","younger-older",6.06895876169495,6.61640298045902,0.0019355856482009,0.0496800316371563,-0.547444218764065,"Welch Two Sample t-test"
"171","ACE2","age.group","LUSC","Normal","younger-older",5.83325924108988,5.99062710749245,0.562176971861974,0.75943204970828,-0.157367866402575,"Welch Two Sample t-test"
"172","ACE2","age.group","LUSC","Tumor","younger-older",5.83391425908279,6.00821777291402,0.278525294526918,0.603862347630429,-0.174303513831227,"Welch Two Sample t-test"
"173","ACE2","age.group","MESO","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"174","ACE2","age.group","MESO","Tumor","younger-older",2.40191802327137,2.75875708845343,0.138068020046655,0.506249406837734,-0.356839065182055,"Welch Two Sample t-test"
"175","ACE2","age.group","OV","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"176","ACE2","age.group","OV","Tumor","younger-older",4.23065498852559,3.55822893943024,0.000125340270827581,0.00482560042686187,0.672426049095348,"Welch Two Sample t-test"
"177","ACE2","age.group","PAAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"178","ACE2","age.group","PAAD","Tumor","younger-older",7.19030140493229,7.32569061692455,0.67224841934062,0.841680877558809,-0.135389211992258,"Welch Two Sample t-test"
"179","ACE2","age.group","PCPG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"180","ACE2","age.group","PCPG","Tumor","younger-older",2.70841372280789,3.20628183107397,0.0256891781096467,0.250181349789218,-0.49786810826608,"Welch Two Sample t-test"
"181","ACE2","age.group","PRAD","Normal","younger-older",4.56335951228616,4.43330648670365,0.796239665173701,0.880026319111696,0.130053025582507,"Welch Two Sample t-test"
"182","ACE2","age.group","PRAD","Tumor","younger-older",3.30341729093859,3.46473785245789,0.0937255459068111,0.41992017908225,-0.16132056151931,"Welch Two Sample t-test"
"183","ACE2","age.group","READ","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"184","ACE2","age.group","READ","Tumor","younger-older",8.95677857349263,9.33105149388889,0.272558911355324,0.603862347630429,-0.374272920396264,"Welch Two Sample t-test"
"185","ACE2","age.group","SARC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"186","ACE2","age.group","SARC","Tumor","younger-older",2.89596908072099,2.6513239275278,0.18407410458262,0.524952076031917,0.244645153193194,"Welch Two Sample t-test"
"187","ACE2","age.group","SKCMmets","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"188","ACE2","age.group","SKCMmets","Tumor","younger-older",2.1708300025044,2.17239512116923,0.983859729756758,0.983859729756758,-0.00156511866482711,"Welch Two Sample t-test"
"189","ACE2","age.group","SKCMprimary","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"190","ACE2","age.group","SKCMprimary","Tumor","younger-older",2.72631883788563,2.35705976010683,0.028831187143518,0.250181349789218,0.369259077778798,"Welch Two Sample t-test"
"191","ACE2","age.group","STAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"192","ACE2","age.group","STAD","Tumor","younger-older",6.71046232731993,6.59290301951437,0.667304113988855,0.841680877558809,0.117559307805554,"Welch Two Sample t-test"
"193","ACE2","age.group","TGCT","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"194","ACE2","age.group","TGCT","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"195","ACE2","age.group","THCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"196","ACE2","age.group","THCA","Tumor","younger-older",5.36561384290943,5.29930311240404,0.54740318871253,0.75943204970828,0.0663107305053989,"Welch Two Sample t-test"
"197","ACE2","age.group","THYM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"198","ACE2","age.group","THYM","Tumor","younger-older",4.52689671838558,4.19319446132339,0.295957974899347,0.603862347630429,0.33370225706219,"Welch Two Sample t-test"
"199","ACE2","age.group","UCEC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"200","ACE2","age.group","UCEC","Tumor","younger-older",4.91562439602315,4.7367453139018,0.173785746206073,0.524952076031917,0.178879082121348,"Welch Two Sample t-test"
"201","ACE2","age.group","UCS","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
