"","Cancer","Sample.type","Sample.total","Gene1","Gene2","estimate","statistic","p.value","method","alternative","p.adj"
"24","KIRC","Normal",72,"ACE2","Angio.gene6",0.132323622097884,53966,0.267194852625922,"Spearman's rank correlation rho","two.sided",0.40548739615755
"25","KIRP","Tumor",288,"ACE2","Angio.gene6",-0.212559629303658,4827520,0.00028848332946192,"Spearman's rank correlation rho","two.sided",0.00165095881318569
"26","KIRP","Normal",32,"ACE2","Angio.gene6",0.24450146627566,4122,0.176884434756597,"Spearman's rank correlation rho","two.sided",0.30666274937932
"27","LAML","Tumor",145,"ACE2","Angio.gene6",-0.0149639686857649,515682.893209863,0.858220003764924,"Spearman's rank correlation rho","two.sided",0.909174279652536
"28","LAML","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"29","LGG","Tumor",510,"ACE2","Angio.gene6",0.113680305441041,19595123.6299827,0.0101905048217208,"Spearman's rank correlation rho","two.sided",0.0348236675562403
"30","LGG","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"31","LIHC","Tumor",371,"ACE2","Angio.gene6",0.0697491305313163,7917123.2848219,0.180062463701653,"Spearman's rank correlation rho","two.sided",0.309890109631468
"32","LIHC","Normal",50,"ACE2","Angio.gene6",-0.161392557022809,24186,0.261972289416432,"Spearman's rank correlation rho","two.sided",0.401409153138082
"33","LUAD","Tumor",512,"ACE2","Angio.gene6",-0.0446653003739238,23368678.0446653,0.313121589486397,"Spearman's rank correlation rho","two.sided",0.451996317278673
"34","LUAD","Normal",59,"ACE2","Angio.gene6",-0.27030976037405,43470,0.0387146565032226,"Spearman's rank correlation rho","two.sided",0.0994024964271931
"35","LUSC","Tumor",501,"ACE2","Angio.gene6",-0.0581260109263545,22176734,0.193913901669805,"Spearman's rank correlation rho","two.sided",0.328961083189848
"36","LUSC","Normal",49,"ACE2","Angio.gene6",-0.233979591836735,24186,0.105603182644195,"Spearman's rank correlation rho","two.sided",0.217953882109365
"37","MESO","Tumor",86,"ACE2","Angio.gene6",0.24980888958256,79516.5067486965,0.0203603703637037,"Spearman's rank correlation rho","two.sided",0.0612099741946789
"38","MESO","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"39","OV","Tumor",264,"ACE2","Angio.gene6",0.0504937178377414,2911736.97475314,0.413897530686293,"Spearman's rank correlation rho","two.sided",0.555370980440647
"40","OV","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"41","PAAD","Tumor",177,"ACE2","Angio.gene6",0.0200026834715465,905690,0.791385955942242,"Spearman's rank correlation rho","two.sided",0.8582381942296
"42","PAAD","Normal",4,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"43","PCPG","Tumor",178,"ACE2","Angio.gene6",-0.0123608908519323,951547.359777566,0.869920681023014,"Spearman's rank correlation rho","two.sided",0.918249607746515
"44","PCPG","Normal",3,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"45","PRAD","Tumor",495,"ACE2","Angio.gene6",0.243190481357682,15298510.8784048,4.26672407982433e-08,"Spearman's rank correlation rho","two.sided",4.94315594613794e-07
"46","PRAD","Normal",52,"ACE2","Angio.gene6",0.0658242977887817,21884,0.642010910037247,"Spearman's rank correlation rho","two.sided",0.734831764500464
"47","READ","Tumor",159,"ACE2","Angio.gene6",-0.0479430379746835,702038,0.548038931174211,"Spearman's rank correlation rho","two.sided",0.667483313609616
"48","READ","Normal",10,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"49","SARC","Tumor",259,"ACE2","Angio.gene6",0.0855036710578393,2648033.8600115,0.170091759062381,"Spearman's rank correlation rho","two.sided",0.304081328920067
"50","SARC","Normal",2,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"51","SKCMmets","Tumor",367,"ACE2","Angio.gene6",0.023364731316643,8045927.62368527,0.655497680583851,"Spearman's rank correlation rho","two.sided",0.746670019849711
"52","SKCMmets","Normal",1,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"53","SKCMprimary","Tumor",103,"ACE2","Angio.gene6",0.209705363240152,143915.814532515,0.0335030212371183,"Spearman's rank correlation rho","two.sided",0.0889046652940291
"54","SKCMprimary","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"55","STAD","Tumor",374,"ACE2","Angio.gene6",0.0262085944173833,8490365.54134914,0.613390094562776,"Spearman's rank correlation rho","two.sided",0.715872960484813
"56","STAD","Normal",30,"ACE2","Angio.gene6",-0.473192436040044,6622,0.00891452332073944,"Spearman's rank correlation rho","two.sided",0.0314217346865007
"57","TGCT","Tumor",134,"ACE2","Angio.gene6",0.500177061810998,200426.499099099,7.58143371624245e-10,"Spearman's rank correlation rho","two.sided",1.09126697430762e-08
"58","TGCT","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"59","THCA","Tumor",502,"ACE2","Angio.gene6",-0.097091480538589,23131352.1456372,0.0296235758664503,"Spearman's rank correlation rho","two.sided",0.0799499916850222
"60","THCA","Normal",58,"ACE2","Angio.gene6",0.180288535482482,26648,0.175220621553136,"Spearman's rank correlation rho","two.sided",0.30666274937932
"61","THYM","Tumor",119,"ACE2","Angio.gene6",-0.298796467739638,364754,0.00101100978908372,"Spearman's rank correlation rho","two.sided",0.00510882606185921
"62","THYM","Normal",2,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"63","UCEC","Tumor",530,"ACE2","Angio.gene6",0.09887971676489,22359267.8022406,0.0228107883198882,"Spearman's rank correlation rho","two.sided",0.0656674209208902
"64","UCEC","Normal",22,"ACE2","Angio.gene6",-0.593450028232637,2822,0.00426606931599799,"Spearman's rank correlation rho","two.sided",0.0168865243758254
"65","UCS","Tumor",56,"ACE2","Angio.gene6",0.0562894102852227,27612.9718550544,0.680297101446546,"Spearman's rank correlation rho","two.sided",0.769383626635974
"66","UCS","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"67","UVM","Tumor",80,"ACE2","Angio.gene6",-0.074618831519411,91686.4787052361,0.510650555711146,"Spearman's rank correlation rho","two.sided",0.636637831923345
"68","UVM","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"69","ACC","Tumor",79,"ACE2","Tinfl.gene160",0.00925024342745862,81400,0.935447765486422,"Spearman's rank correlation rho","two.sided",0.957208431421285
"70","ACC","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"71","BLCA","Tumor",408,"ACE2","Tinfl.gene160",0.114390765274506,10024639.5627275,0.0208283205416376,"Spearman's rank correlation rho","two.sided",0.0618340766079866
"72","BLCA","Normal",19,"ACE2","Tinfl.gene160",-0.0298245614035088,1174,0.905336329811804,"Spearman's rank correlation rho","two.sided",0.940674670104685
"73","BRCA","Tumor",1084,"ACE2","Tinfl.gene160",0.223837137635991,164774152.103815,8.92243805887399e-14,"Spearman's rank correlation rho","two.sided",2.35453226553619e-12
"74","BRCA","Normal",113,"ACE2","Tinfl.gene160",0.0593020161022024,226204,0.532123964682176,"Spearman's rank correlation rho","two.sided",0.658226258395921
"75","CESC","Tumor",304,"ACE2","Tinfl.gene160",0.214576410186316,3677636,0.000168894984965377,"Spearman's rank correlation rho","two.sided",0.00104188464751369
"76","CESC","Normal",3,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"77","CHOL","Tumor",36,"ACE2","Tinfl.gene160",-0.0435006435006435,8108,0.800663211512118,"Spearman's rank correlation rho","two.sided",0.863604699866511
"78","CHOL","Normal",9,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"79","COAD","Tumor",447,"ACE2","Tinfl.gene160",-0.240174057027632,18460854,3.00619326418504e-07,"Spearman's rank correlation rho","two.sided",2.85588360097579e-06
"80","COAD","Normal",41,"ACE2","Tinfl.gene160",-0.0763066202090592,12356,0.634301584158199,"Spearman's rank correlation rho","two.sided",0.733073606995486
"81","DLBC","Tumor",48,"ACE2","Tinfl.gene160",0.0902053242272393,16762.0571064373,0.54203927227451,"Spearman's rank correlation rho","two.sided",0.664155919636718
"82","DLBC","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"83","ESCA","Tumor",161,"ACE2","Tinfl.gene160",0.102116402116402,624496,0.197186365070016,"Spearman's rank correlation rho","two.sided",0.333322147360347
"84","ESCA","Normal",9,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"85","GBM","Tumor",152,"ACE2","Tinfl.gene160",-0.086973612443675,636179.567996584,0.286671673576836,"Spearman's rank correlation rho","two.sided",0.427716278911702
"86","GBM","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"87","HNSC","Tumor",500,"ACE2","Tinfl.gene160",0.116812595250381,18399664,0.00896954445397228,"Spearman's rank correlation rho","two.sided",0.0314217346865007
"88","HNSC","Normal",44,"ACE2","Tinfl.gene160",-0.0520084566596194,14928,0.736702514080348,"Spearman's rank correlation rho","two.sided",0.813799288809687
"89","KICH","Tumor",65,"ACE2","Tinfl.gene160",0.12779859920561,39911.9361003513,0.310334374484164,"Spearman's rank correlation rho","two.sided",0.451996317278673
"90","KICH","Normal",24,"ACE2","Tinfl.gene160",0.367826086956522,1454,0.0777487848581869,"Spearman's rank correlation rho","two.sided",0.172573237418873
"91","KIRC","Tumor",530,"ACE2","Tinfl.gene160",0.000968333027408556,24788717.9995158,0.982256453173871,"Spearman's rank correlation rho","two.sided",0.986409757415621
"92","KIRC","Normal",72,"ACE2","Tinfl.gene160",0.306804296096212,43114,0.0089965387733981,"Spearman's rank correlation rho","two.sided",0.0314217346865007
"93","KIRP","Tumor",288,"ACE2","Tinfl.gene160",0.109980147008588,3543404,0.062354611182467,"Spearman's rank correlation rho","two.sided",0.146958025758695
"94","KIRP","Normal",32,"ACE2","Tinfl.gene160",0.193548387096774,4400,0.287245248363859,"Spearman's rank correlation rho","two.sided",0.427716278911702
"95","LAML","Tumor",145,"ACE2","Tinfl.gene160",-0.0730984607473582,545219.865936518,0.382241704232697,"Spearman's rank correlation rho","two.sided",0.521737958363595
"96","LAML","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"97","LGG","Tumor",510,"ACE2","Tinfl.gene160",-0.0974841044804325,24263634.0377568,0.0277116473485488,"Spearman's rank correlation rho","two.sided",0.0760868930090213
"98","LGG","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"99","LIHC","Tumor",371,"ACE2","Tinfl.gene160",-0.119077011751355,9524173.48699273,0.0217897445314836,"Spearman's rank correlation rho","two.sided",0.0634977217942006
"100","LIHC","Normal",50,"ACE2","Tinfl.gene160",-0.169459783913565,24354,0.238625031347714,"Spearman's rank correlation rho","two.sided",0.382536452584582
"101","LUAD","Tumor",512,"ACE2","Tinfl.gene160",-0.0316379844283755,23077263.031638,0.475032441405702,"Spearman's rank correlation rho","two.sided",0.608195174306492
"102","LUAD","Normal",59,"ACE2","Tinfl.gene160",0.202045587375804,27306,0.124718573608019,"Spearman's rank correlation rho","two.sided",0.244504647469684
"103","LUSC","Tumor",501,"ACE2","Tinfl.gene160",-0.0313813488560727,21616206,0.483279259030534,"Spearman's rank correlation rho","two.sided",0.612446962916862
"104","LUSC","Normal",49,"ACE2","Tinfl.gene160",-0.117551020408163,21904,0.419977592906165,"Spearman's rank correlation rho","two.sided",0.560363361321429
"105","MESO","Tumor",86,"ACE2","Tinfl.gene160",0.114359980490538,93873.4138679054,0.294428378578352,"Spearman's rank correlation rho","two.sided",0.435680622506907
"106","MESO","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"107","OV","Tumor",264,"ACE2","Tinfl.gene160",0.148350955845106,2611649.92582452,0.0158503626120986,"Spearman's rank correlation rho","two.sided",0.0501928149383123
"108","OV","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"109","PAAD","Tumor",177,"ACE2","Tinfl.gene160",0.17492771939544,762512,0.0199777094698944,"Spearman's rank correlation rho","two.sided",0.0608295640910245
"110","PAAD","Normal",4,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"111","PCPG","Tumor",178,"ACE2","Tinfl.gene160",0.0652923599334698,878558.817420094,0.386547220723606,"Spearman's rank correlation rho","two.sided",0.526102950841584
"112","PCPG","Normal",3,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"113","PRAD","Tumor",495,"ACE2","Tinfl.gene160",0.339786785012199,13345866.8301066,7.65711660343021e-15,"Spearman's rank correlation rho","two.sided",2.42475359108623e-13
"114","PRAD","Normal",52,"ACE2","Tinfl.gene160",0.16298130282592,19608,0.247531202887923,"Spearman's rank correlation rho","two.sided",0.388043964923312
"115","READ","Tumor",159,"ACE2","Tinfl.gene160",-0.162535825173155,778806,0.0407596465992704,"Spearman's rank correlation rho","two.sided",0.103533861682639
"116","READ","Normal",10,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"117","SARC","Tumor",259,"ACE2","Tinfl.gene160",-0.151714110364943,3334926.41225494,0.0145270005824559,"Spearman's rank correlation rho","two.sided",0.0469409882766433
"118","SARC","Normal",2,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"119","SKCMmets","Tumor",367,"ACE2","Tinfl.gene160",-0.0817764987476977,8912124.81570701,0.117843781457194,"Spearman's rank correlation rho","two.sided",0.234208352268481
"120","SKCMmets","Normal",1,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"121","SKCMprimary","Tumor",103,"ACE2","Tinfl.gene160",0.0231417976209971,177889.786086026,0.816516009112242,"Spearman's rank correlation rho","two.sided",0.875496849499582
"122","SKCMprimary","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"123","STAD","Tumor",374,"ACE2","Tinfl.gene160",0.0698708517717175,8109679.77725887,0.177541591745922,"Spearman's rank correlation rho","two.sided",0.30666274937932
"124","STAD","Normal",30,"ACE2","Tinfl.gene160",0.415350389321468,2628,0.0232870374899926,"Spearman's rank correlation rho","two.sided",0.0666345952273885
"125","TGCT","Tumor",134,"ACE2","Tinfl.gene160",-0.187423626538923,476150.937123975,0.030119610399287,"Spearman's rank correlation rho","two.sided",0.0808294629359398
"126","TGCT","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"127","THCA","Tumor",502,"ACE2","Tinfl.gene160",0.144104299277999,18045919.7838435,0.00120551081624098,"Spearman's rank correlation rho","two.sided",0.0060275540812049
"128","THCA","Normal",58,"ACE2","Tinfl.gene160",0.154880187025132,27474,0.244978546194666,"Spearman's rank correlation rho","two.sided",0.387074369071387
"129","THYM","Tumor",119,"ACE2","Tinfl.gene160",-0.167547357926221,327894,0.068616662424882,"Spearman's rank correlation rho","two.sided",0.159769189469701
"130","THYM","Normal",2,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"131","UCEC","Tumor",530,"ACE2","Tinfl.gene160",0.229498165519226,19118265.5410036,9.17040754578212e-08,"Spearman's rank correlation rho","two.sided",9.89987178237842e-07
"132","UCEC","Normal",22,"ACE2","Tinfl.gene160",0.0796160361377753,1630,0.724251107996079,"Spearman's rank correlation rho","two.sided",0.805665752454655
"133","UCS","Tumor",56,"ACE2","Tinfl.gene160",0.234214528648835,22406.8828917351,0.0823118763215673,"Spearman's rank correlation rho","two.sided",0.18100991320715
"134","UCS","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"135","UVM","Tumor",80,"ACE2","Tinfl.gene160",-0.0880600734120934,92833.2854635198,0.437307615786786,"Spearman's rank correlation rho","two.sided",0.579857706157373
"136","UVM","Normal",0,"ACE2","Tinfl.gene160",NA,NA,NA,NA,NA,NA
"137","ACC","Tumor",79,"ACE2","myeloid.gene6",-0.115116845180136,91618,0.31169746461484,"Spearman's rank correlation rho","two.sided",0.451996317278673
"138","ACC","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"139","BLCA","Tumor",408,"ACE2","myeloid.gene6",0.205712024620899,8990930.02869612,2.82294385285004e-05,"Spearman's rank correlation rho","two.sided",0.000206292050785195
"140","BLCA","Normal",19,"ACE2","myeloid.gene6",-0.359649122807018,1550,0.13091452593587,"Spearman's rank correlation rho","two.sided",0.250866969475568
"141","BRCA","Tumor",1084,"ACE2","myeloid.gene6",0.497418729259435,106694621.40627,7.94522559870127e-69,"Spearman's rank correlation rho","two.sided",4.71747769922888e-67
"142","BRCA","Normal",113,"ACE2","myeloid.gene6",0.0845947834187238,220122,0.372463589056483,"Spearman's rank correlation rho","two.sided",0.51430292093555
"143","CESC","Tumor",304,"ACE2","myeloid.gene6",0.0430291562374529,4480882,0.454548703881723,"Spearman's rank correlation rho","two.sided",0.586713680282115
"144","CESC","Normal",3,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"145","CHOL","Tumor",36,"ACE2","myeloid.gene6",0.381724581724582,4804,0.0222498331763736,"Spearman's rank correlation rho","two.sided",0.0644431143827895
"146","CHOL","Normal",9,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"147","COAD","Tumor",447,"ACE2","myeloid.gene6",0.0941134361470233,13484752,0.0467715142304293,"Spearman's rank correlation rho","two.sided",0.116235088942434
"148","COAD","Normal",41,"ACE2","myeloid.gene6",-0.223867595818815,14050,0.15900189702149,"Spearman's rank correlation rho","two.sided",0.290484234943107
"149","DLBC","Tumor",48,"ACE2","myeloid.gene6",0.198244609239201,14771.541319377,0.176783703834807,"Spearman's rank correlation rho","two.sided",0.30666274937932
"150","DLBC","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"151","ESCA","Tumor",161,"ACE2","myeloid.gene6",0.090588336783989,632514,0.252815700459852,"Spearman's rank correlation rho","two.sided",0.395024531968519
"152","ESCA","Normal",9,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"153","GBM","Tumor",152,"ACE2","myeloid.gene6",-0.131456717169357,662214.461598013,0.106453264524995,"Spearman's rank correlation rho","two.sided",0.217953882109365
"154","GBM","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"155","HNSC","Tumor",500,"ACE2","myeloid.gene6",-0.055936927747711,21998598,0.211720105121867,"Spearman's rank correlation rho","two.sided",0.350407839487411
"156","HNSC","Normal",44,"ACE2","myeloid.gene6",-0.278646934460888,18144,0.0672946922803312,"Spearman's rank correlation rho","two.sided",0.157462949917031
"157","KICH","Tumor",65,"ACE2","myeloid.gene6",0.0101618243212395,45294.9949190601,0.935967134212102,"Spearman's rank correlation rho","two.sided",0.957208431421285
"158","KICH","Normal",24,"ACE2","myeloid.gene6",-0.213913043478261,2792,0.314018494109394,"Spearman's rank correlation rho","two.sided",0.451996317278673
"159","KIRC","Tumor",530,"ACE2","myeloid.gene6",-0.316719337516251,32671421.1583597,8.18575573956569e-14,"Spearman's rank correlation rho","two.sided",2.28719645664335e-12
"160","KIRC","Normal",72,"ACE2","myeloid.gene6",-0.42784101871503,88806,0.000203960561859703,"Spearman's rank correlation rho","two.sided",0.00122634515042227
"161","KIRP","Tumor",288,"ACE2","myeloid.gene6",-0.168309361047145,4651348,0.00422042740963494,"Spearman's rank correlation rho","two.sided",0.0168462438619882
"162","KIRP","Normal",32,"ACE2","myeloid.gene6",-0.276759530791789,6966,0.125083430179228,"Spearman's rank correlation rho","two.sided",0.244504647469684
"163","LAML","Tumor",145,"ACE2","myeloid.gene6",0.100701983287864,456915.336331102,0.228132495745513,"Spearman's rank correlation rho","two.sided",0.368581413194281
"164","LAML","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"165","LGG","Tumor",510,"ACE2","myeloid.gene6",-0.0605207435727734,23446432.7150155,0.17236361800133,"Spearman's rank correlation rho","two.sided",0.305706059212092
"166","LGG","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"167","LIHC","Tumor",371,"ACE2","myeloid.gene6",0.0281419204962318,8271231.4315559,0.588969788986613,"Spearman's rank correlation rho","two.sided",0.699401624421603
"168","LIHC","Normal",50,"ACE2","myeloid.gene6",-0.0840816326530612,22576,0.560468514424479,"Spearman's rank correlation rho","two.sided",0.679139143754152
"169","LUAD","Tumor",512,"ACE2","myeloid.gene6",-0.107071961933943,24764686.107072,0.01535856541314,"Spearman's rank correlation rho","two.sided",0.0492926930489289
"170","LUAD","Normal",59,"ACE2","myeloid.gene6",0.108708357685564,30500,0.411448155741688,"Spearman's rank correlation rho","two.sided",0.553648368207654
"171","LUSC","Tumor",501,"ACE2","myeloid.gene6",0.202485101510127,16714716,5.14998108841333e-06,"Spearman's rank correlation rho","two.sided",3.94555002741344e-05
"172","LUSC","Normal",49,"ACE2","myeloid.gene6",0.322142857142857,13286,0.0244270072556522,"Spearman's rank correlation rho","two.sided",0.0690644550383024
"173","MESO","Tumor",86,"ACE2","myeloid.gene6",0.207649920806463,83985.146644119,0.055053375568772,"Spearman's rank correlation rho","two.sided",0.134740251702431
"174","MESO","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"175","OV","Tumor",264,"ACE2","myeloid.gene6",0.0982068131610493,2765420.95089659,0.111395813443472,"Spearman's rank correlation rho","two.sided",0.22420767536292
"176","OV","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"177","PAAD","Tumor",177,"ACE2","myeloid.gene6",0.0499125707657416,878048,0.50905102855719,"Spearman's rank correlation rho","two.sided",0.636313785696488
"178","PAAD","Normal",4,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"179","PCPG","Tumor",178,"ACE2","myeloid.gene6",0.119858186280099,827270.814827933,0.111027502493592,"Spearman's rank correlation rho","two.sided",0.22420767536292
"180","PCPG","Normal",3,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"181","PRAD","Tumor",495,"ACE2","myeloid.gene6",0.307302842004911,14002512.8463486,2.75659031907526e-12,"Spearman's rank correlation rho","two.sided",5.69295826765543e-11
"182","PRAD","Normal",52,"ACE2","myeloid.gene6",0.665670622385384,7832,1.98252521106261e-07,"Spearman's rank correlation rho","two.sided",1.96187390678071e-06
"183","READ","Tumor",159,"ACE2","myeloid.gene6",0.0331323143061858,647724,0.678119500275724,"Spearman's rank correlation rho","two.sided",0.768751223462933
"184","READ","Normal",10,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"185","SARC","Tumor",259,"ACE2","myeloid.gene6",-0.0110592683918545,2927643.43874082,0.859408950661029,"Spearman's rank correlation rho","two.sided",0.909174279652536
"186","SARC","Normal",2,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"187","SKCMmets","Tumor",367,"ACE2","myeloid.gene6",0.00426036040496278,8203317.37867399,0.935172589660144,"Spearman's rank correlation rho","two.sided",0.957208431421285
"188","SKCMmets","Normal",1,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"189","SKCMprimary","Tumor",103,"ACE2","myeloid.gene6",0.0798584408165904,167561.458493536,0.422630921348202,"Spearman's rank correlation rho","two.sided",0.562324055015115
"190","SKCMprimary","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"191","STAD","Tumor",374,"ACE2","myeloid.gene6",0.110869227992538,7752220.05978656,0.0320694422076815,"Spearman's rank correlation rho","two.sided",0.0855785676890378
"192","STAD","Normal",30,"ACE2","myeloid.gene6",-0.119466073414905,5032,0.527949828760184,"Spearman's rank correlation rho","two.sided",0.654768064389262
"193","TGCT","Tumor",134,"ACE2","myeloid.gene6",-0.0480510735965932,420263.240256866,0.581401383032983,"Spearman's rank correlation rho","two.sided",0.692479434418394
"194","TGCT","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"195","THCA","Tumor",502,"ACE2","myeloid.gene6",-0.0725102404048104,22613075.1087654,0.104652620213682,"Spearman's rank correlation rho","two.sided",0.21707421223362
"196","THCA","Normal",58,"ACE2","myeloid.gene6",-0.23405826078932,40118,0.0771177654987299,"Spearman's rank correlation rho","two.sided",0.171976237614538
"197","THYM","Tumor",119,"ACE2","myeloid.gene6",-0.268693918245264,356300,0.00322005281294551,"Spearman's rank correlation rho","two.sided",0.013536065242496
"198","THYM","Normal",2,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
