"","Cancer","Sample.type","Sample.total","Sample.xcell.isNA","Sample.gene.isNA","Sample.xcell.pass","Gene1","Gene2","estimate","statistic","p.value","method","alternative","p.adj","p.value.2","p.adj.2"
"18","GBM","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"19","HNSC","Tumor",500,0,0,500,"aDC","ACE2",0.0920504702939967,18915539.5397476,0.0396353256105646,"Spearman's rank correlation rho","two.sided",0.127012748719799,0.0396353256105646,0.128234418748557
"20","HNSC","Normal",44,0,0,44,"aDC","ACE2",-0.012968706077539,14374.0259392403,0.933412953239756,"Spearman's rank correlation rho","two.sided",0.96885315204416,0.933412953239756,0.968314342476483
"21","KICH","Tumor",65,0,0,65,"aDC","ACE2",0.205356851139087,36362.8704918754,0.100785599079523,"Spearman's rank correlation rho","two.sided",0.251446930846997,0.100785599079523,0.252874332995931
"22","KICH","Normal",24,0,0,24,"aDC","ACE2",0.476936647122952,1203.04571161721,0.018448583404399,"Spearman's rank correlation rho","two.sided",0.0699944704209901,0.018448583404399,0.0704281208570066
"23","KIRC","Tumor",530,0,0,530,"aDC","ACE2",0.0470380462555854,23645601.952962,0.27972435371236,"Spearman's rank correlation rho","two.sided",0.497018607252604,0.27972435371236,0.498564145836404
"24","KIRC","Normal",72,0,0,72,"aDC","ACE2",0.256326553893182,46253.5136540597,0.0297510484937854,"Spearman's rank correlation rho","two.sided",0.101301768937392,0.0297510484937854,0.102232943962672
"25","KIRP","Tumor",288,0,0,288,"aDC","ACE2",-0.0808391911911451,4303106.16167842,0.171261867905409,"Spearman's rank correlation rho","two.sided",0.363859967183136,0.171261867905409,0.365503024022925
"26","KIRP","Normal",32,0,0,32,"aDC","ACE2",0.105118371134288,4882.47416709133,0.566935073416238,"Spearman's rank correlation rho","two.sided",0.752247392991383,0.566935073416238,0.753928103759479
"27","LAML","Tumor",145,0,0,145,"aDC","ACE2",0.00707437450757458,504485.651800191,0.932698253175397,"Spearman's rank correlation rho","two.sided",0.968477569123196,0.932698253175397,0.967903430622325
"28","LAML","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"29","LGG","Tumor",510,0,0,510,"aDC","ACE2",-0.00653326867572872,22252855.2151895,0.882988746992614,"Spearman's rank correlation rho","two.sided",0.941765831592894,0.882988746992614,0.940904880169611
"30","LGG","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"31","LIHC","Tumor",371,0,0,371,"aDC","ACE2",-0.154953369839867,9829507.84283095,0.00276579113520458,"Spearman's rank correlation rho","two.sided",0.0152843793646449,0.00276579113520458,0.0153315487982559
"32","LIHC","Normal",50,0,0,50,"aDC","ACE2",0.00436974789915966,20734,0.976147169902907,"Spearman's rank correlation rho","two.sided",0.989204205674547,0.976147169902907,0.988820716039082
"33","LUAD","Tumor",512,0,0,512,"aDC","ACE2",0.0149558763738272,22034979.9850441,0.735661174234861,"Spearman's rank correlation rho","two.sided",0.863486047722563,0.735661174234861,0.864172967978659
"34","LUAD","Normal",59,0,0,59,"aDC","ACE2",0.337755698421976,22662,0.00918824787418635,"Spearman's rank correlation rho","two.sided",0.0401570991659632,0.00918824787418635,0.040441047776903
"35","LUSC","Tumor",501,0,0,501,"aDC","ACE2",-0.0985277917903035,23023494.7242371,0.0274393777783216,"Spearman's rank correlation rho","two.sided",0.0949113007329548,0.0274393777783216,0.0958170456213116
"36","LUSC","Normal",49,0,0,49,"aDC","ACE2",0.128061224489796,17090,0.379387539737472,"Spearman's rank correlation rho","two.sided",0.601516485610682,0.379387539737472,0.602498351135619
"37","MESO","Tumor",86,0,0,86,"aDC","ACE2",0.134920669589409,91694.0836268706,0.215506222754134,"Spearman's rank correlation rho","two.sided",0.421406419593927,0.215506222754134,0.423211315272824
"38","MESO","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"39","OV","Tumor",264,0,0,264,"aDC","ACE2",0.137374678774449,2645309.55756385,0.0256099772848964,"Spearman's rank correlation rho","two.sided",0.0901023592418287,0.0256099772848964,0.0909977906333513
"40","OV","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"41","PAAD","Tumor",177,0,0,177,"aDC","ACE2",0.146733667256368,788568.266329679,0.0513079727007398,"Spearman's rank correlation rho","two.sided",0.154239137216165,0.0513079727007398,0.155640160823612
"42","PAAD","Normal",4,0,0,4,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"43","PCPG","Tumor",178,0,0,178,"aDC","ACE2",0.14329401055146,805242.803956377,0.0563691578819414,"Spearman's rank correlation rho","two.sided",0.165160853655932,0.0563691578819414,0.166666181649964
"44","PCPG","Normal",3,0,0,3,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"45","PRAD","Tumor",495,0,0,495,"aDC","ACE2",0.299292391983275,14164439.9281019,1.05749394292134e-11,"Spearman's rank correlation rho","two.sided",3.91088312262946e-10,1.05749394292134e-11,3.89414133163036e-10
"46","PRAD","Normal",52,0,0,52,"aDC","ACE2",-0.00572258337117303,23560.0572380531,0.967883212574518,"Spearman's rank correlation rho","two.sided",0.985388142635485,0.967883212574518,0.98506840864368
"47","READ","Tumor",159,0,0,159,"aDC","ACE2",-0.100261104303138,737086.918994758,0.208594260331092,"Spearman's rank correlation rho","two.sided",0.411863962801908,0.208594260331092,0.413677696436026
"48","READ","Normal",10,0,0,10,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"49","SARC","Tumor",259,0,0,259,"aDC","ACE2",-0.0787859802601846,3123754.260161,0.206311641969722,"Spearman's rank correlation rho","two.sided",0.409481475874841,0.206311641969722,0.411403673338697
"50","SARC","Normal",2,0,0,2,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"51","SKCMmets","Tumor",367,0,0,367,"aDC","ACE2",-0.095689244308137,9026743.80133606,0.0670867373377525,"Spearman's rank correlation rho","two.sided",0.187416786296876,0.0670867373377525,0.188716613979442
"52","SKCMmets","Normal",1,0,0,1,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"53","SKCMprimary","Tumor",103,0,0,103,"aDC","ACE2",-0.0690516061080677,194678.573678704,0.488264064765474,"Spearman's rank correlation rho","two.sided",0.692540207110352,0.488264064765474,0.694656714712897
"54","SKCMprimary","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"55","STAD","Tumor",374,0,0,374,"aDC","ACE2",0.0416107509560889,8356076.06375773,0.422340408803057,"Spearman's rank correlation rho","two.sided",0.641171202958531,0.422340408803057,0.643304167432283
"56","STAD","Normal",30,0,0,30,"aDC","ACE2",0.281423804226919,3230,0.131798595689679,"Spearman's rank correlation rho","two.sided",0.303757560573206,0.131798595689679,0.305302427529733
"57","TGCT","Tumor",134,0,0,134,"aDC","ACE2",-0.188361305782867,476526.941812401,0.029290026931128,"Spearman's rank correlation rho","two.sided",0.10011491741478,0.029290026931128,0.101059740848117
"58","TGCT","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"59","THCA","Tumor",502,0,0,502,"aDC","ACE2",0.135878899965403,18219346.1675256,0.00228090156114553,"Spearman's rank correlation rho","two.sided",0.0130123899824634,0.00228090156114553,0.0130374015856258
"60","THCA","Normal",58,0,0,58,"aDC","ACE2",0.111340144068972,28889.4432564618,0.405367053974721,"Spearman's rank correlation rho","two.sided",0.625707311413055,0.405367053974721,0.627039261698168
"61","THYM","Tumor",119,0,0,119,"aDC","ACE2",0.0293690357498932,272592,0.750864243083655,"Spearman's rank correlation rho","two.sided",0.873490755350243,0.750864243083655,0.873827071629245
"62","THYM","Normal",2,0,0,2,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"63","UCEC","Tumor",530,0,0,530,"aDC","ACE2",0.0950597570468216,22454051.4886353,0.0286528376061495,"Spearman's rank correlation rho","two.sided",0.0982537466375832,0.0286528376061495,0.0991992258090964
"64","UCEC","Normal",22,0,0,22,"aDC","ACE2",-0.215132693393563,2152,0.334716924538855,"Spearman's rank correlation rho","two.sided",0.55633249956256,0.334716924538855,0.557474319990829
"65","UCS","Tumor",56,0,0,56,"aDC","ACE2",0.144397546117223,25034.9278006101,0.288336731201666,"Spearman's rank correlation rho","two.sided",0.507220671231692,0.288336731201666,0.508691631469606
"66","UCS","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"67","UVM","Tumor",80,0,0,80,"aDC","ACE2",-0.105395905303099,94312.3786404604,0.352139182977059,"Spearman's rank correlation rho","two.sided",0.5755286081493,0.352139182977059,0.576700915861967
"68","UVM","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"69","ACC","Tumor",79,0,0,79,"Adipocytes","ACE2",-0.136916442892368,93409.0549480369,0.228891657478084,"Spearman's rank correlation rho","two.sided",0.439474745915512,0.228891657478084,0.441086492495032
"70","ACC","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"71","BLCA","Tumor",408,0,0,408,"Adipocytes","ACE2",-0.0373194230712594,11741920.6123444,0.452192656913563,"Spearman's rank correlation rho","two.sided",0.664956747149617,0.452192656913563,0.666922033558423
"72","BLCA","Normal",19,0,0,19,"Adipocytes","ACE2",-0.512280701754386,1724,0.0266017857404233,"Spearman's rank correlation rho","two.sided",0.0928726449477677,0.0266017857404233,0.0937543214378261
"73","BRCA","Tumor",1084,0,0,1084,"Adipocytes","ACE2",0.140371270466962,182493393.978514,3.4965732145578e-06,"Spearman's rank correlation rho","two.sided",4.7423672106188e-05,3.4965732145578e-06,4.75283643213718e-05
"74","BRCA","Normal",113,0,0,113,"Adipocytes","ACE2",-0.0918141592920354,262542,0.332935197997402,"Spearman's rank correlation rho","two.sided",0.555012720285466,0.332935197997402,0.556230464921263
"75","CESC","Tumor",304,0,0,304,"Adipocytes","ACE2",-0.0231332098672481,4790678.01655401,0.687880209677641,"Spearman's rank correlation rho","two.sided",0.835333112166928,0.687880209677641,0.836692635590367
"76","CESC","Normal",3,0,0,3,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"77","CHOL","Tumor",36,0,0,36,"Adipocytes","ACE2",0.00875160875160875,7702,0.95997789377484,"Spearman's rank correlation rho","two.sided",0.982171729089249,0.95997789377484,0.9819083747225
"78","CHOL","Normal",9,0,0,9,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"79","COAD","Tumor",447,0,0,447,"Adipocytes","ACE2",-0.0358037126329701,15418659.1819258,0.45019013672378,"Spearman's rank correlation rho","two.sided",0.663806087088541,0.45019013672378,0.665860581970226
"80","COAD","Normal",41,0,0,41,"Adipocytes","ACE2",-0.227003484320558,14086,0.153128716739277,"Spearman's rank correlation rho","two.sided",0.33680904812536,0.153128716739277,0.33820795452848
"81","DLBC","Tumor",48,0,0,48,"Adipocytes","ACE2",0.112356580619092,16353.9423586739,0.44706194007083,"Spearman's rank correlation rho","two.sided",0.661342361355847,0.44706194007083,0.663489795507136
"82","DLBC","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"83","ESCA","Tumor",161,0,0,161,"Adipocytes","ACE2",-0.0110425901796189,703200.342321728,0.889428620085432,"Spearman's rank correlation rho","two.sided",0.945752140798561,0.889428620085432,0.945366633303209
"84","ESCA","Normal",9,0,0,9,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"85","GBM","Tumor",152,0,0,152,"Adipocytes","ACE2",0.00508327407974621,582300.881679702,0.950440301319957,"Spearman's rank correlation rho","two.sided",0.977644042156573,0.950440301319957,0.977301619702159
"86","GBM","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"87","HNSC","Tumor",500,0,0,500,"Adipocytes","ACE2",-0.187043406781233,24729972.0543251,2.56329471250614e-05,"Spearman's rank correlation rho","two.sided",0.000277297919494074,2.56329471250614e-05,0.000276635500411853
"88","HNSC","Normal",44,0,0,44,"Adipocytes","ACE2",-0.394849480762276,19792.9141320167,0.00799048423846265,"Spearman's rank correlation rho","two.sided",0.0362277050897084,0.00799048423846265,0.0364764704980459
"89","KICH","Tumor",65,0,0,65,"Adipocytes","ACE2",0.0389280629603002,43978.6518389367,0.758177352025341,"Spearman's rank correlation rho","two.sided",0.877449939581091,0.758177352025341,0.877553737625499
"90","KICH","Normal",24,0,0,24,"Adipocytes","ACE2",0.58,966,0.0035068749992022,"Spearman's rank correlation rho","two.sided",0.0186203938814067,0.0035068749992022,0.0186910285045198
"91","KIRC","Tumor",530,0,0,530,"Adipocytes","ACE2",-0.0744726224146293,26660615.1894555,0.0867457243999672,"Spearman's rank correlation rho","two.sided",0.226363909121502,0.0867457243999672,0.227808487969149
"92","KIRC","Normal",72,0,0,72,"Adipocytes","ACE2",0.618303427873175,23740,1.4670332407919e-08,"Spearman's rank correlation rho","two.sided",3.24020779329072e-07,1.4670332407919e-08,3.24134326220058e-07
"93","KIRP","Tumor",288,0,0,288,"Adipocytes","ACE2",0.0485414901331135,3788007.51282668,0.411829858365452,"Spearman's rank correlation rho","two.sided",0.63139304147087,0.411829858365452,0.633007391709711
"94","KIRP","Normal",32,0,0,32,"Adipocytes","ACE2",0.229105571847507,4206,0.206402547325517,"Spearman's rank correlation rho","two.sided",0.409481475874841,0.206402547325517,0.411403673338697
"95","LAML","Tumor",145,0,0,145,"Adipocytes","ACE2",0.0959401164929362,459334.745612269,0.251000286418685,"Spearman's rank correlation rho","two.sided",0.463853483308909,0.251000286418685,0.465388385804069
"96","LAML","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"97","LGG","Tumor",510,0,0,510,"Adipocytes","ACE2",0.00697485835393944,21954211.9369449,0.875142482075865,"Spearman's rank correlation rho","two.sided",0.938629066488855,0.875142482075865,0.937838081478608
"98","LGG","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"99","LIHC","Tumor",371,0,0,371,"Adipocytes","ACE2",0.245823842679549,6418597.18915346,1.64581270195881e-06,"Spearman's rank correlation rho","two.sided",2.44603144793458e-05,1.64581270195881e-06,2.45699213196603e-05
"100","LIHC","Normal",50,0,0,50,"Adipocytes","ACE2",0.356158463385354,13408,0.0115147446568935,"Spearman's rank correlation rho","two.sided",0.0481876912911182,0.0115147446568935,0.0485521086296218
"101","LUAD","Tumor",512,0,0,512,"Adipocytes","ACE2",0.145917479130982,19105429.6975502,0.000928284655365051,"Spearman's rank correlation rho","two.sided",0.00613806516920695,0.000928284655365051,0.00613738581719048
"102","LUAD","Normal",59,0,0,59,"Adipocytes","ACE2",-0.0349503214494448,35416,0.792247857827494,"Spearman's rank correlation rho","two.sided",0.897757985238794,0.792247857827494,0.897996403429461
"103","LUSC","Tumor",501,0,0,501,"Adipocytes","ACE2",-0.00518678120656779,21067207.1539179,0.907805771197854,"Spearman's rank correlation rho","two.sided",0.957254172887688,0.907805771197854,0.956705619852629
"104","LUSC","Normal",49,0,0,49,"Adipocytes","ACE2",0.0156122448979592,19294,0.91515940098391,"Spearman's rank correlation rho","two.sided",0.95895313306755,0.91515940098391,0.958456176523581
"105","MESO","Tumor",86,0,0,86,"Adipocytes","ACE2",0.306409254979431,73517.1510184552,0.00411380050243133,"Spearman's rank correlation rho","two.sided",0.021344115004866,0.00411380050243133,0.0214185534299681
"106","MESO","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"107","OV","Tumor",264,0,0,264,"Adipocytes","ACE2",-0.135104907016984,3480890.00576014,0.0281742762062947,"Spearman's rank correlation rho","two.sided",0.0969262146826612,0.0281742762062947,0.0978770167120907
"108","OV","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"109","PAAD","Tumor",177,0,0,177,"Adipocytes","ACE2",0.287767760274397,658227.942380649,0.000102813909188197,"Spearman's rank correlation rho","two.sided",0.000930297690392777,0.000102813909188197,0.00092685061161348
"110","PAAD","Normal",4,0,0,4,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"111","PCPG","Tumor",178,0,0,178,"Adipocytes","ACE2",0.16406764846226,785717.059248516,0.0286430378541756,"Spearman's rank correlation rho","two.sided",0.0982537466375832,0.0286430378541756,0.0991992258090964
"112","PCPG","Normal",3,0,0,3,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"113","PRAD","Tumor",495,0,0,495,"Adipocytes","ACE2",0.119587647699988,17797077.8873216,0.00773335642664115,"Spearman's rank correlation rho","two.sided",0.0352125126913847,0.00773335642664115,0.035462546149639
"114","PRAD","Normal",52,0,0,52,"Adipocytes","ACE2",-0.0831071654118061,25372.868456937,0.558049713416176,"Spearman's rank correlation rho","two.sided",0.746497790461692,0.558049713416176,0.748294995928409
"115","READ","Tumor",159,0,0,159,"Adipocytes","ACE2",-0.0387249963703771,695862.649568443,0.627936946091268,"Spearman's rank correlation rho","two.sided",0.796280731332601,0.627936946091268,0.798148926015121
"116","READ","Normal",10,0,0,10,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"117","SARC","Tumor",259,0,0,259,"Adipocytes","ACE2",0.260655947654892,2140859.42485154,2.154603183502e-05,"Spearman's rank correlation rho","two.sided",0.000240446155267653,2.154603183502e-05,0.000239768661958941
"118","SARC","Normal",2,0,0,2,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"119","SKCMmets","Tumor",367,0,0,367,"Adipocytes","ACE2",0.00227252338855234,8219694.00695538,0.965393178108168,"Spearman's rank correlation rho","two.sided",0.984586500873186,0.965393178108168,0.984182709762622
"120","SKCMmets","Normal",1,0,0,1,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"121","SKCMprimary","Tumor",103,0,0,103,"Adipocytes","ACE2",0.0184219468153495,178749.289797138,0.853467272073404,"Spearman's rank correlation rho","two.sided",0.926393927724754,0.853467272073404,0.925798954950194
"122","SKCMprimary","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"123","STAD","Tumor",374,0,0,374,"Adipocytes","ACE2",0.0813267613488686,8009797.13364438,0.116386778578576,"Spearman's rank correlation rho","two.sided",0.277333348210826,0.116386778578576,0.278795178402955
"124","STAD","Normal",30,0,0,30,"Adipocytes","ACE2",0.0171301446051168,4418,0.928875554485844,"Spearman's rank correlation rho","two.sided",0.966137851731592,0.928875554485844,0.965638178728212
"125","TGCT","Tumor",134,0,0,134,"Adipocytes","ACE2",0.315208159635461,274598.104026978,0.000207554217547711,"Spearman's rank correlation rho","two.sided",0.00172356707287336,0.000207554217547711,0.0017111254081681
"126","TGCT","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"127","THCA","Tumor",502,0,0,502,"Adipocytes","ACE2",-0.311471825124354,27651401.14035,9.36006154904965e-13,"Spearman's rank correlation rho","two.sided",3.89146088323561e-11,9.36006154904965e-13,3.89532424465929e-11
"128","THCA","Normal",58,0,0,58,"Adipocytes","ACE2",-0.143389879959632,37170.4616076077,0.28290623567855,"Spearman's rank correlation rho","two.sided",0.500853483203801,0.28290623567855,0.502319780240465
"129","THYM","Tumor",119,0,0,119,"Adipocytes","ACE2",-0.246349179731933,350024.703635916,0.00691851059362899,"Spearman's rank correlation rho","two.sided",0.032240766216904,0.00691851059362899,0.032460903758216
"130","THYM","Normal",2,0,0,2,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"131","UCEC","Tumor",530,0,0,530,"Adipocytes","ACE2",0.0483293767347285,23613560.4990722,0.266719925224251,"Spearman's rank correlation rho","two.sided",0.482453487173014,0.266719925224251,0.483810601628787
"132","UCEC","Normal",22,0,0,22,"Adipocytes","ACE2",-0.328063241106719,2352,0.136194918323814,"Spearman's rank correlation rho","two.sided",0.309405669806351,0.136194918323814,0.310864133634672
"133","UCS","Tumor",56,0,0,56,"Adipocytes","ACE2",0.14266911297986,25085.5017542093,0.294207849254461,"Spearman's rank correlation rho","two.sided",0.513149473295208,0.294207849254461,0.514715488646733
"134","UCS","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"135","UVM","Tumor",80,0,0,80,"Adipocytes","ACE2",0.110712499649766,75874.009529882,0.328238857063334,"Spearman's rank correlation rho","two.sided",0.550323502841293,0.328238857063334,0.551390460469123
"136","UVM","Normal",0,0,0,0,"Adipocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"137","ACC","Tumor",79,0,0,79,"Astrocytes","ACE2",-0.254426328576681,103063.66715586,0.0236529382849933,"Spearman's rank correlation rho","two.sided",0.0850997400626936,0.0236529382849933,0.0859027214701849
"138","ACC","Normal",0,0,0,0,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"139","BLCA","Tumor",408,0,0,408,"Astrocytes","ACE2",-0.0856135253395536,12288584.9302647,0.0841362060959284,"Spearman's rank correlation rho","two.sided",0.222197590008934,0.0841362060959284,0.223657049720632
"140","BLCA","Normal",19,0,0,19,"Astrocytes","ACE2",-0.635087719298246,1864,0.00429088879450671,"Spearman's rank correlation rho","two.sided",0.0220293330281333,0.00429088879450671,0.0220944409452735
"141","BRCA","Tumor",1084,0,0,1084,"Astrocytes","ACE2",0.28893625006128,150954048.652953,2.73753135745267e-22,"Spearman's rank correlation rho","two.sided",2.67899030227022e-20,2.73753135745267e-22,2.77220675464707e-20
"142","BRCA","Normal",113,0,0,113,"Astrocytes","ACE2",0.176342404684277,198060,0.0617953166238615,"Spearman's rank correlation rho","two.sided",0.176269062351741,0.0617953166238615,0.17769443625489
"143","CESC","Tumor",304,0,0,304,"Astrocytes","ACE2",-0.154804022346808,5407208.1620758,0.00684480671335316,"Spearman's rank correlation rho","two.sided",0.0319910473942979,0.00684480671335316,0.0321896637696082
"144","CESC","Normal",3,0,0,3,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"145","CHOL","Tumor",36,0,0,36,"Astrocytes","ACE2",-0.15902423062058,9005.61827192191,0.354245555591194,"Spearman's rank correlation rho","two.sided",0.577783584388611,0.354245555591194,0.578912317313634
"146","CHOL","Normal",9,0,0,9,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"147","COAD","Tumor",447,0,0,447,"Astrocytes","ACE2",-0.106650117415281,16473257.2262082,0.0241359750415407,"Spearman's rank correlation rho","two.sided",0.086302740510947,0.0241359750415407,0.0870809795348564
"148","COAD","Normal",41,0,0,41,"Astrocytes","ACE2",-0.152264808362369,13228,0.340673776669068,"Spearman's rank correlation rho","two.sided",0.564459095696327,0.340673776669068,0.565685418543987
"149","DLBC","Tumor",48,0,0,48,"Astrocytes","ACE2",0.410296611587914,10864.6952281043,0.00377459325812828,"Spearman's rank correlation rho","two.sided",0.0198595431885475,0.00377459325812828,0.0199256547666268
"150","DLBC","Normal",0,0,0,0,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"151","ESCA","Tumor",161,0,0,161,"Astrocytes","ACE2",-0.366239026307182,950246.567577171,1.77127547437091e-06,"Spearman's rank correlation rho","two.sided",2.5961021411229e-05,1.77127547437091e-06,2.60587646059992e-05
"152","ESCA","Normal",9,0,0,9,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"153","GBM","Tumor",152,0,0,152,"Astrocytes","ACE2",-0.0534720071788932,616571.882473634,0.512935663853809,"Spearman's rank correlation rho","two.sided",0.711621321215721,0.512935663853809,0.713016951172671
"154","GBM","Normal",0,0,0,0,"Astrocytes","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"155","HNSC","Tumor",500,0,0,500,"Astrocytes","ACE2",-0.287697503844561,26826924.0219697,5.52240608163341e-11,"Spearman's rank correlation rho","two.sided",1.82010492669793e-09,5.52240608163341e-11,1.81373726227052e-09
"156","HNSC","Normal",44,0,0,44,"Astrocytes","ACE2",-0.534661435060378,21776.8457635068,0.000184966277730764,"Spearman's rank correlation rho","two.sided",0.00155425428354741,0.000184966277730764,0.00154375701029138
"157","KICH","Tumor",65,0,0,65,"Astrocytes","ACE2",-0.088966643297179,49831.1135972789,0.480963363167515,"Spearman's rank correlation rho","two.sided",0.685727950558132,0.480963363167515,0.687515798704103
