,ACE2,TMPRSS2,PID,Tinfl_gene160.mean,Tinfl_gene160.median,Tinfl_gene160.centered.scaled.mean,Tinfl_gene160.centered.noscale.mean,Tinfl_gene160.nocenter.scaled.mean,Cancer,patient,Aliquot,shortLetterCode,definition,RNAseq.legacy.flag,Sampletype.flag,Plate,Aliquot.flag,Exclude.mets.flag,Clinical.flag,Tissue.Type,Use.in.analysis,Sample.type,Sample
TCGA.04.1519.01A,2.65153667,5.108611361,TCGA.04.1519,1.166663,0.8046721,-1.190984,-1.748241,0.1327316,OV,TCGA-04-1519,TCGA-04-1519-01A-01R-1565-13,TP,Primary solid Tumor,1,1,1565,1,0,1,Female,1,Tumor,TCGA-04-1519-01A
TCGA.05.4244.01A,2.845750967,11.67474399,TCGA.05.4244,2.024068,1.853473,-0.5962709,-0.8908357,0.4381153,LUAD,TCGA-05-4244,TCGA-05-4244-01A-01R-1107-07,TP,Primary solid Tumor,1,1,1107,1,0,1,Lung,1,Tumor,TCGA-05-4244-01A
TCGA.05.4249.01A,3.988984554,12.5278264,TCGA.05.4249,2.176727,2.100196,-0.4877903,-0.7381759,0.4831947,LUAD,TCGA-05-4249,TCGA-05-4249-01A-01R-1107-07,TP,Primary solid Tumor,1,1,1107,1,0,1,Lung,1,Tumor,TCGA-05-4249-01A
TCGA.05.4250.01A,4.109235175,10.23444623,TCGA.05.4250,2.489583,2.389087,-0.3067677,-0.4253206,0.6083883,LUAD,TCGA-05-4250,TCGA-05-4250-01A-01R-1107-07,TP,Primary solid Tumor,1,1,1107,1,0,1,Lung,1,Tumor,TCGA-05-4250-01A
TCGA.05.4382.01A,9.388919226,9.527287371,TCGA.05.4382,3.727219,3.590453,0.5829519,0.812316,1.038077,LUAD,TCGA-05-4382,TCGA-05-4382-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4382-01A
TCGA.05.4384.01A,8.693898102,10.53146919,TCGA.05.4384,2.651964,2.582365,-0.1647212,-0.2629394,0.6852076,LUAD,TCGA-05-4384,TCGA-05-4384-01A-01R-1755-07,TP,Primary solid Tumor,1,1,1755,1,0,1,Lung,1,Tumor,TCGA-05-4384-01A
TCGA.05.4389.01A,10.92750391,10.10414006,TCGA.05.4389,3.607601,3.436892,0.4553517,0.6926973,1.02852,LUAD,TCGA-05-4389,TCGA-05-4389-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4389-01A
TCGA.05.4390.01A,4.245404389,10.42641153,TCGA.05.4390,2.199379,2.172569,-0.4910291,-0.7155237,0.5303954,LUAD,TCGA-05-4390,TCGA-05-4390-01A-02R-1755-07,TP,Primary solid Tumor,1,1,1755,1,0,1,Lung,1,Tumor,TCGA-05-4390-01A
TCGA.05.4395.01A,4.276109513,6.988900507,TCGA.05.4395,2.553404,2.449655,-0.2621326,-0.3614994,0.6385245,LUAD,TCGA-05-4395,TCGA-05-4395-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4395-01A
TCGA.05.4396.01A,9.228010555,11.05585858,TCGA.05.4396,1.514585,1.177812,-1.002535,-1.400319,0.2875853,LUAD,TCGA-05-4396,TCGA-05-4396-01A-21R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4396-01A
TCGA.05.4397.01A,8.165118037,8.031450337,TCGA.05.4397,2.214078,1.970029,-0.4898415,-0.7008253,0.4830706,LUAD,TCGA-05-4397,TCGA-05-4397-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4397-01A
TCGA.05.4398.01A,8.166183172,9.462905067,TCGA.05.4398,3.519552,3.411451,0.4229884,0.6046484,0.9910805,LUAD,TCGA-05-4398,TCGA-05-4398-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4398-01A
TCGA.05.4402.01A,9.30979919,10.83620819,TCGA.05.4402,2.875368,2.898286,-0.0131113,-0.03953553,0.7440783,LUAD,TCGA-05-4402,TCGA-05-4402-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4402-01A
TCGA.05.4403.01A,6.106184977,11.45652897,TCGA.05.4403,3.364476,3.326844,0.3349949,0.4495731,0.9170715,LUAD,TCGA-05-4403,TCGA-05-4403-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4403-01A
TCGA.05.4405.01A,6.141359216,12.26921144,TCGA.05.4405,2.585008,2.610419,-0.2054338,-0.3298952,0.6549969,LUAD,TCGA-05-4405,TCGA-05-4405-01A-21R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4405-01A
TCGA.05.4410.01A,6.196457542,11.63289526,TCGA.05.4410,3.447952,3.197366,0.3376271,0.5330485,0.9671322,LUAD,TCGA-05-4410,TCGA-05-4410-01A-21R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4410-01A
TCGA.05.4415.01A,3.399936681,7.173257382,TCGA.05.4415,1.794085,1.773459,-0.8160323,-1.120818,0.4029368,LUAD,TCGA-05-4415,TCGA-05-4415-01A-22R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4415-01A
TCGA.05.4417.01A,7.044197375,10.91540886,TCGA.05.4417,3.430514,3.286346,0.3376525,0.5156111,0.9830751,LUAD,TCGA-05-4417,TCGA-05-4417-01A-22R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4417-01A
TCGA.05.4418.01A,5.988462017,6.858030742,TCGA.05.4418,3.280593,3.120651,0.2295525,0.3656893,0.9267937,LUAD,TCGA-05-4418,TCGA-05-4418-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4418-01A
TCGA.05.4420.01A,9.185566778,8.740337332,TCGA.05.4420,1.658035,1.678481,-0.8644016,-1.256868,0.344519,LUAD,TCGA-05-4420,TCGA-05-4420-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4420-01A
TCGA.05.4422.01A,10.23789111,11.53733975,TCGA.05.4422,3.5859,3.274236,0.4482913,0.6709972,1.027933,LUAD,TCGA-05-4422,TCGA-05-4422-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4422-01A
TCGA.05.4424.01A,8.338878974,11.16259274,TCGA.05.4424,3.080957,3.030018,0.1273325,0.1660535,0.8216465,LUAD,TCGA-05-4424,TCGA-05-4424-01A-22R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4424-01A
TCGA.05.4425.01A,6.335997677,12.90143449,TCGA.05.4425,3.546027,3.377163,0.4287322,0.6311235,0.9769148,LUAD,TCGA-05-4425,TCGA-05-4425-01A-01R-1755-07,TP,Primary solid Tumor,1,1,1755,1,0,1,Lung,1,Tumor,TCGA-05-4425-01A
TCGA.05.4426.01A,5.697857203,9.566516464,TCGA.05.4426,2.524359,2.391861,-0.2450188,-0.3905443,0.6310894,LUAD,TCGA-05-4426,TCGA-05-4426-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4426-01A
TCGA.05.4427.01A,3.178634976,10.52625469,TCGA.05.4427,2.77842,2.589109,-0.1040495,-0.136483,0.7285257,LUAD,TCGA-05-4427,TCGA-05-4427-01A-21R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4427-01A
TCGA.05.4430.01A,5.668087914,10.67808071,TCGA.05.4430,3.293049,3.174987,0.2701742,0.3781458,0.9076967,LUAD,TCGA-05-4430,TCGA-05-4430-01A-02R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4430-01A
TCGA.05.4432.01A,6.6877186,12.5657471,TCGA.05.4432,2.932846,2.9846,0.000501341,0.01794231,0.7901925,LUAD,TCGA-05-4432,TCGA-05-4432-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4432-01A
TCGA.05.4433.01A,6.720811989,11.48305998,TCGA.05.4433,3.355748,3.283892,0.3062028,0.4408452,0.9328237,LUAD,TCGA-05-4433,TCGA-05-4433-01A-22R-1858-07,TP,Primary solid Tumor,1,1,1858,1,0,1,Lung,1,Tumor,TCGA-05-4433-01A
TCGA.05.4434.01A,8.110321479,10.72326844,TCGA.05.4434,3.790262,3.542951,0.607182,0.8753584,1.08612,LUAD,TCGA-05-4434,TCGA-05-4434-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-05-4434-01A
TCGA.05.5420.01A,8.552011955,8.238108526,TCGA.05.5420,4.406369,4.129721,1.017575,1.491466,1.32543,LUAD,TCGA-05-5420,TCGA-05-5420-01A-01R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5420-01A
TCGA.05.5423.01A,8.128886221,12.2091091,TCGA.05.5423,3.467785,3.236338,0.3977602,0.5528817,0.9712265,LUAD,TCGA-05-5423,TCGA-05-5423-01A-01R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5423-01A
TCGA.05.5425.01A,7.318985605,10.88666445,TCGA.05.5425,3.554711,3.432398,0.4296925,0.6398081,1.003429,LUAD,TCGA-05-5425,TCGA-05-5425-01A-02R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5425-01A
TCGA.05.5428.01A,5.33975382,10.4221594,TCGA.05.5428,2.298929,2.194255,-0.4042658,-0.6159741,0.5472306,LUAD,TCGA-05-5428,TCGA-05-5428-01A-01R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5428-01A
TCGA.05.5429.01A,9.643129249,10.55992194,TCGA.05.5429,1.129007,1.06935,-1.257907,-1.785896,0.1583828,LUAD,TCGA-05-5429,TCGA-05-5429-01A-01R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5429-01A
TCGA.05.5715.01A,8.475401087,11.72244468,TCGA.05.5715,2.438094,2.517079,-0.2855389,-0.4768095,0.5605603,LUAD,TCGA-05-5715,TCGA-05-5715-01A-01R-1628-07,TP,Primary solid Tumor,1,1,1628,1,0,1,Lung,1,Tumor,TCGA-05-5715-01A
TCGA.06.0125.01A,1.931607422,2.077994919,TCGA.06.0125,1.56781,1.439686,-0.9342674,-1.347093,0.2900737,GBM,TCGA-06-0125,TCGA-06-0125-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0125-01A
TCGA.06.0129.01A,2.556870802,2.745968715,TCGA.06.0129,3.068075,3.007023,0.1364275,0.1531721,0.8071598,GBM,TCGA-06-0129,TCGA-06-0129-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0129-01A
TCGA.06.0130.01A,1.813811968,2.833051992,TCGA.06.0130,5.106322,4.871384,1.48067,2.191418,1.566245,GBM,TCGA-06-0130,TCGA-06-0130-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0130-01A
TCGA.06.0132.01A,2.43629512,2.072551749,TCGA.06.0132,3.989179,3.893713,0.7680016,1.074275,1.130926,GBM,TCGA-06-0132,TCGA-06-0132-01A-02R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0132-01A
TCGA.06.0138.01A,3.204735455,2.342924474,TCGA.06.0138,3.422121,3.487946,0.3578943,0.5072177,0.9642466,GBM,TCGA-06-0138,TCGA-06-0138-01A-02R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0138-01A
TCGA.06.0141.01A,2.604095052,1.812826773,TCGA.06.0141,4.059086,3.981431,0.8035982,1.144183,1.183956,GBM,TCGA-06-0141,TCGA-06-0141-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0141-01A
TCGA.06.0156.01A,2.213782747,3.741973863,TCGA.06.0156,3.374016,3.286514,0.2987423,0.4591129,0.9517302,GBM,TCGA-06-0156,TCGA-06-0156-01A-03R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0156-01A
TCGA.06.0157.01A,2.302611509,2.674392854,TCGA.06.0157,3.021608,2.804103,0.05042022,0.1067051,0.817295,GBM,TCGA-06-0157,TCGA-06-0157-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0157-01A
TCGA.06.0158.01A,1.78257631,2.251416133,TCGA.06.0158,2.945948,2.888053,0.03118007,0.03104457,0.776294,GBM,TCGA-06-0158,TCGA-06-0158-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0158-01A
TCGA.06.0168.01A,1.584962501,3.605766917,TCGA.06.0168,3.51133,3.470091,0.4137674,0.5964265,0.9577497,GBM,TCGA-06-0168,TCGA-06-0168-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0168-01A
TCGA.06.0174.01A,2.814406865,2.465034122,TCGA.06.0174,1.777527,1.861144,-0.7808659,-1.137376,0.3599504,GBM,TCGA-06-0174,TCGA-06-0174-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0174-01A
TCGA.06.0178.01A,1.914105237,2.181929438,TCGA.06.0178,3.15867,2.959711,0.1654482,0.2437671,0.8621241,GBM,TCGA-06-0178,TCGA-06-0178-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0178-01A
TCGA.06.0184.01A,5.062082846,2.160694346,TCGA.06.0184,3.60534,3.418104,0.5186602,0.6904371,0.9767876,GBM,TCGA-06-0184,TCGA-06-0184-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0184-01A
TCGA.06.0187.01A,2.706353727,2.813627296,TCGA.06.0187,2.713199,2.388701,-0.1274691,-0.2017046,0.672051,GBM,TCGA-06-0187,TCGA-06-0187-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0187-01A
TCGA.06.0190.01A,2.380009029,2.657205531,TCGA.06.0190,3.742178,3.586838,0.5654555,0.8272745,1.077998,GBM,TCGA-06-0190,TCGA-06-0190-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0190-01A
TCGA.06.0210.01A,2.675409481,4.38605216,TCGA.06.0210,3.205327,3.085224,0.2309273,0.2904235,0.8737411,GBM,TCGA-06-0210,TCGA-06-0210-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0210-01A
TCGA.06.0211.01B,2.200880954,1.765280131,TCGA.06.0211,2.144294,1.892126,-0.5428717,-0.7706091,0.4836687,GBM,TCGA-06-0211,TCGA-06-0211-01B-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0211-01B
TCGA.06.0219.01A,1.868844774,2.309554569,TCGA.06.0219,2.81695,2.751536,-0.07568552,-0.09795311,0.7441092,GBM,TCGA-06-0219,TCGA-06-0219-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0219-01A
TCGA.06.0238.01A,1.838629116,2.407842178,TCGA.06.0238,3.440889,3.364744,0.3518152,0.5259853,0.9541393,GBM,TCGA-06-0238,TCGA-06-0238-01A-02R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0238-01A
TCGA.06.0644.01A,2.411860074,3.563402221,TCGA.06.0644,3.558676,3.532746,0.4277051,0.6437731,1.01363,GBM,TCGA-06-0644,TCGA-06-0644-01A-02R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0644-01A
TCGA.06.0645.01A,1.816681617,2.191625815,TCGA.06.0645,4.060966,4.142725,0.8230037,1.146062,1.15173,GBM,TCGA-06-0645,TCGA-06-0645-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0645-01A
TCGA.06.0646.01A,2.171591153,4.589320066,TCGA.06.0646,3.115019,3.039232,0.1643022,0.2001158,0.8386529,GBM,TCGA-06-0646,TCGA-06-0646-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0646-01A
TCGA.06.0649.01B,2.305474464,2.305474464,TCGA.06.0649,3.700627,3.491473,0.5424889,0.7857235,1.05004,GBM,TCGA-06-0649,TCGA-06-0649-01B-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0649-01B
TCGA.06.0686.01A,2.039103291,2.662114331,TCGA.06.0686,2.379496,2.385363,-0.3564445,-0.5354067,0.5526286,GBM,TCGA-06-0686,TCGA-06-0686-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0686-01A
TCGA.06.0743.01A,1.584962501,4.356714295,TCGA.06.0743,2.879693,2.888282,-0.05465296,-0.03521042,0.7757621,GBM,TCGA-06-0743,TCGA-06-0743-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0743-01A
TCGA.06.0744.01A,2.367482898,3.606631732,TCGA.06.0744,2.287882,2.153845,-0.4465859,-0.6270214,0.5530522,GBM,TCGA-06-0744,TCGA-06-0744-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0744-01A
TCGA.06.0745.01A,2.577706766,3.016353684,TCGA.06.0745,3.04266,3.02024,0.08939767,0.1277567,0.8155498,GBM,TCGA-06-0745,TCGA-06-0745-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0745-01A
TCGA.06.0747.01A,4.781553809,2.824543846,TCGA.06.0747,1.575609,1.45966,-0.9282799,-1.339295,0.2792669,GBM,TCGA-06-0747,TCGA-06-0747-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0747-01A
TCGA.06.0749.01A,2.048829048,3.597090134,TCGA.06.0749,3.245155,3.355589,0.2646358,0.3302519,0.8708014,GBM,TCGA-06-0749,TCGA-06-0749-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0749-01A
TCGA.06.0750.01A,1.826029786,2.76964481,TCGA.06.0750,3.280463,3.077178,0.2364533,0.3655596,0.8796736,GBM,TCGA-06-0750,TCGA-06-0750-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0750-01A
TCGA.06.0878.01A,2.356087454,4.156954752,TCGA.06.0878,3.066625,2.948042,0.1111779,0.1517217,0.8259228,GBM,TCGA-06-0878,TCGA-06-0878-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0878-01A
TCGA.06.0882.01A,3.186040926,2.286082714,TCGA.06.0882,3.30187,3.229674,0.3028721,0.3869665,0.8941314,GBM,TCGA-06-0882,TCGA-06-0882-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-0882-01A
TCGA.06.1804.01A,4.325156118,3.497241905,TCGA.06.1804,2.209838,2.133533,-0.5028683,-0.7050654,0.528742,GBM,TCGA-06-1804,TCGA-06-1804-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-1804-01A
TCGA.06.2557.01A,2.457331625,2.838608948,TCGA.06.2557,4.31169,4.149607,0.9527805,1.396787,1.277969,GBM,TCGA-06-2557,TCGA-06-2557-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2557-01A
TCGA.06.2558.01A,2.915616504,2.003638214,TCGA.06.2558,2.603547,2.404397,-0.2141367,-0.3113558,0.6759118,GBM,TCGA-06-2558,TCGA-06-2558-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2558-01A
TCGA.06.2559.01A,2.491417016,4.452048456,TCGA.06.2559,2.29125,2.331667,-0.4295346,-0.6236532,0.5563767,GBM,TCGA-06-2559,TCGA-06-2559-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2559-01A
TCGA.06.2561.01A,3.109995673,1.833254438,TCGA.06.2561,3.281501,3.218241,0.2657605,0.3665976,0.8986294,GBM,TCGA-06-2561,TCGA-06-2561-01A-02R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2561-01A
TCGA.06.2562.01A,1.961882583,1.961882583,TCGA.06.2562,2.51404,2.451892,-0.2491684,-0.4008629,0.6164473,GBM,TCGA-06-2562,TCGA-06-2562-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2562-01A
TCGA.06.2563.01A,1.795766948,4.354952814,TCGA.06.2563,2.478881,2.233905,-0.3478375,-0.4360219,0.6303285,GBM,TCGA-06-2563,TCGA-06-2563-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2563-01A
TCGA.06.2564.01A,1.926037384,1.584962501,TCGA.06.2564,2.670032,2.657823,-0.1456205,-0.2448708,0.6917149,GBM,TCGA-06-2564,TCGA-06-2564-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2564-01A
TCGA.06.2565.01A,1.776188231,6.033423002,TCGA.06.2565,2.479287,2.136406,-0.3463733,-0.4356167,0.6244719,GBM,TCGA-06-2565,TCGA-06-2565-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2565-01A
TCGA.06.2567.01A,3.01799315,3.576002045,TCGA.06.2567,3.335374,3.360363,0.281198,0.420471,0.9225875,GBM,TCGA-06-2567,TCGA-06-2567-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2567-01A
TCGA.06.2569.01A,2.142707502,1.584962501,TCGA.06.2569,0.2805203,0.1012058,-1.882116,-2.634383,-0.1149576,GBM,TCGA-06-2569,TCGA-06-2569-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2569-01A
TCGA.06.2570.01A,2.30535772,2.974033645,TCGA.06.2570,2.768625,2.695349,-0.06377049,-0.1462784,0.682798,GBM,TCGA-06-2570,TCGA-06-2570-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-2570-01A
TCGA.06.5408.01A,3.128078895,3.765736285,TCGA.06.5408,2.142823,1.970005,-0.540991,-0.7720802,0.4740435,GBM,TCGA-06-5408,TCGA-06-5408-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-5408-01A
TCGA.06.5410.01A,1.81204635,1.81204635,TCGA.06.5410,4.798983,4.891115,1.375083,1.88408,1.420424,GBM,TCGA-06-5410,TCGA-06-5410-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-06-5410-01A
